ID,Codigo,Respostas
"19124017","0701",""","C","A","A","D","B","A","A","E","A","C","B","A","D","C","A","E","C","B","D","D","D","B","B","D","A","B","B","A","B"
"19140452","0701",""","D","A","A","A","B","E","A","A","D","C","A","A","C","D","D","C","A","C","B","A","D","D","A","C","D","C","B","B","C"
"19143699","0701",""","C","A","C","A","A","C","A","E","A","A","E","D","B","D","E","B","A","D","C","A","D","C","C","D","E","A","D","B","A"
"19104835","0701",""","C","A","C","D","D","B","A","B","C","C","B","A","D","B","E","C","A","C","D","E","E","C","A","B","C","C","A","D","E"
"19119438","0701",""","D","A","A","B","B","C","A","E","D","C","D","A","B","D","E","E","B","A","C","D","D","E","B","C","C","B","D","A","D"
"19106640","0701",""","E","D","A","E","E","D","E","A","B","A","E","A","A","A","A","E","B","E","C","D","E","D","C","B","A","C","D","D","A"
"19116814","0701",""","D","A","A","B","D","A","A","E","D","D","B","D","A","E","E","E","B","B","B","A","D","D","C","E","C","C","B","C","C"
"19117461","0701",""","C","A","E","D","B","A","A","E","D","A","B","A","D","E","*","D","B","B","B","B","E","D","D","B","C","C","D","A","A"
"19110974","0701",""","C","A","A","B","E","A","A","D","C","D","A","D","A","E","E","B","B","B","D","A","E","D","E","E","D","E","C","B","E"
"19116784","0701",""","C","A","B","B","B","D","B","D","B","C","B","A","A","B","E","C","C","D","B","B","D","C","C","B","C","C","D","A","C"
"19144732","0701",""","C","E","B","E","B","C","A","D","B","B","D","C","A","E","C","D","E","A","D","D","D","E","B","B","D","C","C","A","C"
"19103090","0701",""","A","C","C","B","B","A","A","A","D","A","B","A","B","E","A","D","D","D","B","B","E","A","C","C","D","B","E","C","C"
"19128209","0701",""","C","C","A","B","B","A","A","E","D","D","B","A","C","D","B","E","B","C","B","B","E","C","B","D","E","D","D","C","E"
"19138670","0701",""","C","C","B","B","B","A","B","A","B","D","E","A","B","E","A","C","C","A","D","D","B","B","C","E","D","C","A","B","C"
"19115672","0701",""","C","C","A","E","A","C","E","A","B","A","B","D","A","C","A","B","A","C","D","A","B","A","D","C","E","E","E","B","B"
"19117332","0701",""","C","B","A","B","B","B","A","A","B","A","B","A","D","E","C","C","E","B","D","D","A","B","D","C","E","B","E","A","A"
"19112570","0701",""","D","A","B","E","B","B","C","E","B","E","C","A","B","D","A","B","A","D","D","A","C","B","D","B","A","C","B","B","C"
"19108221","0701",""","B","B","D","E","B","B","B","A","A","D","B","A","A","C","A","B","A","B","B","D","B","B","B","A","A","C","D","B","B"
